programName	coachName	startSeason	endSeason
Marshall	Bob Pruett	2002	2004
Marshall	Mark Snyder	2005	2009
Marshall	Doc Holliday	2010	2020
Marshall	Charles Huff	2021	2024
Marshall	Tony Gibson	2025	2025
Maryland	Ralph Friedgen	2002	2010
Maryland	Randy Edsall	2011	2015
Maryland	D.J. Durkin	2016	2018
Maryland	Mike Locksley	2019	2025
Massachusetts	Mark Whipple	2002	2003
Massachusetts	Don Brown	2004	2008
Massachusetts	Kevin Morris	2009	2011
Massachusetts	Charley Molnar	2012	2013
Massachusetts	Mark Whipple	2014	2018
Massachusetts	Walt Bell	2019	2021
Massachusetts	Don Brown	2022	2024
Massachusetts	Joe Harasymiak	2025	2025
Memphis	Tommy West	2002	2009
Memphis	Larry Porter	2010	2011
Memphis	Justin Fuente	2012	2015
Memphis	Mike Norvell	2016	2019
Memphis	Ryan Silverfield	2020	2025
Miami FL	Larry Coker	2002	2006
Miami FL	Randy Shannon	2007	2010
Miami FL	Al Golden	2011	2015
Miami FL	Mark Richt	2016	2018
Miami FL	Manny Diaz	2019	2021
Miami FL	Mario Cristobal	2022	2025
Miami OH	Terry Hoeppner	2002	2004
Miami OH	Shane Montgomery	2005	2008
Miami OH	Mike Haywood	2009	2010
Miami OH	Don Treadwell	2011	2013
Miami OH	Chuck Martin	2014	2025
Michigan	Lloyd Carr	2002	2007
Michigan	Rich Rodriguez	2008	2010
Michigan	Brady Hoke	2011	2014
Michigan	Jim Harbaugh	2015	2023
Michigan	Sherrone Moore	2024	2025
Michigan State	Bobby Williams	2002	2002
Michigan State	John L Smith	2003	2006
Michigan State	Mark Dantonio	2007	2019
Michigan State	Mel Tucker	2020	2023
Michigan State	Jonathan Smith	2024	2025
Middle Tennessee	Andy McCollum	2002	2005
Middle Tennessee	Rick Stockstill	2006	2023
Middle Tennessee	Derek Mason	2024	2025
Minnesota	Glen Mason	2002	2006
Minnesota	Tim Brewster	2007	2010
Minnesota	Jerry Kill	2011	2015
Minnesota	Tracy Claeys	2016	2016
Minnesota	P. J. Fleck	2017	2025
Mississippi State	Jackie Sherrill	2002	2003
Mississippi State	Sylvester Croom	2004	2008
Mississippi State	Dan Mullen	2009	2017
Mississippi State	Joe Moorhead	2018	2019
Mississippi State	Mike Leach	2020	2022
Mississippi State	Zach Arnett	2023	2023
Mississippi State	Jeff Lebby	2024	2025
Missouri	Gary Pinkel	2002	2015
Missouri	Barry Odom	2016	2019
Missouri	Eliah Drinkwitz	2020	2025
Missouri State	Ryan Beard	2025	2025
Navy	Paul Johnson	2002	2007
Navy	Ken Niumatalolo	2008	2022
Navy	Brian Newberry	2023	2025
Nebraska	Frank Solich	2002	2003
Nebraska	Bill Callahan	2004	2007
Nebraska	Bo Pelini	2008	2014
Nebraska	Mike Riley	2015	2017
Nebraska	Scott Frost	2018	2022
Nebraska	Matt Rhule	2023	2025
Nevada	Chris Tormey	2002	2003
Nevada	Chris Ault	2004	2012
Nevada	Brian Polian	2013	2016
Nevada	Jay Norvell	2017	2021
Nevada	Ken Wilson	2022	2023
Nevada	Jeff Choate	2024	2025
New Mexico	Rocky Long	2002	2008
New Mexico	Mike Locksley	2009	2010
New Mexico	George Barlow	2011	2011
New Mexico	Bob Davie	2012	2019
New Mexico	Danny Gonzales	2020	2023
New Mexico	Bronco Mendenhall	2024	2024
New Mexico	Jason Eck	2025	2025
New Mexico State	Tony Samuel	2002	2004
New Mexico State	Hal Mumme	2005	2008
New Mexico State	DeWayne Walker	2009	2012
New Mexico State	Doug Martin	2013	2021
New Mexico State	Jerry Kill	2022	2023
New Mexico State	Tony Sanchez	2024	2025
North Carolina	John Bunting	2002	2006
North Carolina	Butch Davis	2007	2010
North Carolina	Everett Withers	2011	2011
North Carolina	Larry Fedora	2012	2018
North Carolina	Mack Brown	2019	2024
North Carolina	Bill Belichick	2025	2025
North Carolina State	Chuck Amato	2002	2006
North Carolina State	Tom O'Brien	2007	2012
North Carolina State	Dave Doeren	2013	2025
North Texas	Darrell Dickey	2002	2006
North Texas	Todd Dodge	2007	2010
North Texas	Dan McCarney	2011	2015
North Texas	Seth Littrell	2016	2022
North Texas	Eric Morris	2023	2025
Northern Illinois	Joe Novak	2002	2007
Northern Illinois	Jerry Kill	2008	2010
Northern Illinois	Dave Doeren	2011	2012
Northern Illinois	Rod Carey	2013	2018
Northern Illinois	Thomas Hammock	2019	2025
Northwestern	Randy Walker	2002	2005
Northwestern	Pat Fitzgerald	2006	2022
Northwestern	David Braun	2023	2025
Notre Dame	Tyrone Willingham	2002	2004
Notre Dame	Charlie Weis	2005	2009
Notre Dame	Brian Kelly	2010	2021
Notre Dame	Marcus Freeman	2022	2025
Ohio	Brian Knorr	2002	2004
Ohio	Frank Solich	2005	2020
Ohio	Tim Albin	2021	2023
Ohio	Brian Smith	2024	2025
Ohio State	Jim Tressel	2002	2010
Ohio State	Luke Fickell	2011	2011
Ohio State	Urban Meyer	2012	2018
Ohio State	Ryan Day	2019	2025
Oklahoma	Bob Stoops	2002	2016
Oklahoma	Lincoln Riley	2017	2021
Oklahoma	Brent Venables	2022	2025
Oklahoma State	Les Miles	2002	2004
